id,hiragana,hinmoku,kubun,kubun2,note
491,かーぽーと,カーポート,金属,金属,自身で交換した物に限る。
492,かーこんぽ・かーすてれお,カーコンポ・カーステレオ,金属,金属,
493,がーぜ,ガーゼ,燃やせるゴミ,可燃,
494,がーぜ（ざいたくいりょうよう）,ガーゼ（在宅医療用）,燃やせるゴミ,可燃,
495,かーてれび（しゃさいようえきしょうてれび）,カーテレビ（車載用液晶テレビ）,金属（エコ）,金属（エコ）,
496,かーてん・れーす,カーテン・レース,燃やせるゴミ,可燃,
497,がーでんあーち,ガーデンアーチ,金属,金属,
498,がーでんてーぶる（もくせい）,ガーデンテーブル（木製）,燃やせるゴミ,可燃,
499,がーでんてーぶる（きんぞくせい）,ガーデンテーブル（金属製）,金属,金属,
500,がーでんぱらそる,ガーデンパラソル,金属,金属,
501,がーでんふぇんす（もくせい）,ガーデンフェンス（木製）,燃やせるゴミ,可燃,
502,がーでんふぇんす（きんぞく）,ガーデンフェンス（金属）,金属,金属,
503,かーてんふっく（きんぞくせい）,カーテンフック（金属製）,金属,金属,
504,かーてんほるだー（きんぞくせい）,カーテンホルダー（金属製）,金属,金属,
505,かーてんほるだー（ぷらすちっくせい）,カーテンホルダー（プラスチック製）,その他プラスチック,他プラ,
506,かーてんほるだー（もくせい）,カーテンホルダー（木製）,燃やせるゴミ,可燃,
507,がーでんらいと,ガーデンライト,金属,金属,電池は取り外して「危険ごみ」。
508,かーてんれーる,カーテンレール,金属,金属,
509,かーてんれーるらんなー,カーテンレールランナー,金属,金属,
510,かーど（かみせい）,カード（紙製）,燃やせるゴミ,可燃,
511,かーど（ぷらすちっくせい）,カード（プラスチック製）,その他プラスチック,他プラ,テレホンカード、キャッシュカードなど。
512,かーどかばー,カードカバー,その他プラスチック,他プラ,
513,かーどけーす（きんぞくせい）,カードケース（金属製）,金属,金属,
514,かーどけーす（ぷらすちっくせい）,カードケース（プラスチック製）,その他プラスチック,他プラ,
515,かーどけーす（ひ・ぬのせい）,カードケース（皮・布製）,燃やせるゴミ,可燃,
516,かーどげーむ（かみせい）,カードゲーム（紙製）,燃やせるゴミ,可燃,
517,かーどすたんど（もくせい）,カードスタンド（木製）,燃やせるゴミ,可燃,
518,かーどすたんど（ぷらすちっくせい）,カードスタンド（プラスチック製）,その他プラスチック,他プラ,
519,かーどすたんど（きんぞくせい）,カードスタンド（金属製）,金属,金属,
520,かーどほるだー（きんぞくせい）,カードホルダー（金属製）,金属,金属,
521,かーどほるだー（ひ・ぬのせい）,カードホルダー（皮・布製）,燃やせるゴミ,可燃,
522,かーどほるだー（ぷらすちっくせい）,カードホルダー（プラスチック製）,その他プラスチック,他プラ,
523,かーとりっじいんき,カートリッジインキ,その他プラスチック,他プラ,
524,かーなび,カーナビ,エコ,エコ,
525,かーなびようあんてな,カーナビ用アンテナ,金属,金属,
526,かーぺっと,カーペット,燃やせるゴミ,可燃,折りたたんだり、丸めた際に1m以上の場合は「不燃」。
527,かーぺっとくりーなー,カーペットクリーナー,金属,金属,
528,かーぺっとびょう,カーペット鋲,金属,金属,
529,かーぼんし,カーボン紙,燃やせるゴミ,可燃,
530,がーめんとすちーまー（いるいすちーまー）,ガーメントスチーマー（衣類スチーマー）,金属,金属,
531,かーわっくす,カーワックス,燃やせるゴミ,可燃,
532,かーわっくすようき,カーワックス容器,容器包装プラスチック,容プラ,中身は取り除く。
533,かいが,絵画,燃やせるゴミ,可燃,
534,がいがーかうんたー,ガイガーカウンター,金属,金属,電池は取り外して「危険ごみ」。
535,かいがら,貝殻,燃やせるゴミ,可燃,
536,かいごようべっと,介護用ベット,金属,金属,
537,かいちゅうでんとう,懐中電灯,金属,金属,電池は取り外して「危険ごみ」。
538,かいちゅうどけい,懐中時計,金属,金属,
539,かいてんだい,回転台,金属,金属,電池は取り外して「危険ごみ」。
540,かいほう,会報,雑誌・雑紙,雑誌・雑紙,
541,かいまきふとん,掻い巻き布団,燃やせるゴミ,可燃,
542,かいものかご（もくせい）,買物かご（木製）,燃やせるゴミ,可燃,
543,かいものかご（ぷらすちっくせい）,買物かご（プラスチック製）,その他プラスチック,他プラ,
544,かいものふくろ,買い物袋,容器包装プラスチック,容プラ,
545,かいろ（つかいすて）,カイロ（使い捨て）,燃やせるゴミ,可燃,未使用の物は包装から取り出して、一晩おいて発熱を終わらせる。
546,かいろ（おいるしき）,カイロ（オイル式）,金属,金属,オイルは紙等に染み込ませて「可燃」。
547,かいろ（じゅうでんしき）,カイロ（充電式）,危険,危険,
548,かいろけーす,カイロケース,燃やせるゴミ,可燃,
549,かうんたー（かずとりき）,カウンター（数取器）,金属,金属,
550,かえば,替え刃,金属,金属,
551,かがくやくひん,化学薬品,処理困難物,処理困難物,販売店または専門の処理業者へ依頼。
552,かかとやすり（がらすせい）,踵やすり（ガラス製）,燃やせないごみ,不燃,
553,かかとやすり（きんぞくせい）,踵やすり（金属製）,金属,金属,
554,かがみるい,鏡類,燃やせないごみ,不燃,
555,かがみもち,鏡餅,燃やせるゴミ,可燃,
556,かがみもちのかざり,鏡餅の飾り,燃やせるゴミ,可燃,
557,かきごおりたくみ,かき氷機,金属,金属,
558,けん・じょうまえ,鍵・錠前,金属,金属,
559,かぎばり,かぎ針,金属,金属,
560,かぐ（もくせい）,家具（木製）,燃やせるゴミ,可燃,１ｍ以内にできなければ津市リサイクルセンターへ自己搬入。（ごみ分別ガイドブック７ページ参照）。
561,かぐ（きんぞくせい）,家具（金属製）,金属,金属,
562,かくせいき,拡声器,金属,金属,電池は取り除いて「危険ごみ」。
563,かぐてんとうぼうしぽーる（ぷらすちっくせい）,家具転倒防止ポール（プラスチック製）,その他プラスチック,他プラ,
564,かぐてんとうぼうしぽーる（きんぞくせい）,家具転倒防止ポール（金属製）,金属,金属,
565,かくはんたくみ,攪拌機,金属,金属,
566,がくえにし（もくせい）,額縁（木製）,燃やせるゴミ,可燃,金具は出来る限り取り除く。
567,がくえにし（ぷらすちっくせい）,額縁（プラスチック製）,その他プラスチック,他プラ,金具は出来る限り取り除く。
568,かけいぼ,家計簿,雑誌・雑紙,雑誌・雑紙,
569,かけじく,掛け軸,燃やせるゴミ,可燃,
570,かけどけい,掛け時計,金属,金属,
571,かご（ぷらすちっくせい）,かご（プラスチック製）,その他プラスチック,他プラ,
572,からかさ（ほねぐみがきんぞくのもの）,傘（骨組みが金属の物）,金属,金属,骨組みがプラスチックの場合は「他プラ」。
573,りゅう,笠,燃やせるゴミ,可燃,
574,かざい,花材,燃やせるゴミ,可燃,
575,かさいほうちき,火災報知機,金属,金属,電池は取り外して「危険ごみ」。
576,かさたて（ぷらすちっくせい）,傘立て（プラスチック製）,その他プラスチック,他プラ,
577,かさたて（きんぞくせい）,傘立て（金属製）,金属,金属,
578,かさぶくろ,傘袋,その他プラスチック,他プラ,
579,かしかーど,歌詞カード,雑誌・雑紙,雑誌・雑紙,
580,かしつき,加湿器,金属,金属,
581,かじつしゅびん（うめなどをつけるもの）,果実酒びん（梅などを漬けるもの）,燃やせないごみ,不燃,
582,かしなどのあきばこ（かみせい）,菓子などの空き箱（紙製）,雑誌・雑紙,雑誌・雑紙,
583,かしなどのあきばこ（もくせい）,菓子などの空き箱（木製）,燃やせるゴミ,可燃,
584,かしなどのほとぎ（きんぞくせい）,菓子などの缶（金属製）,金属,金属,
585,かしなどのこづつみそう（かみせい）,菓子などの個包装（紙製）,雑誌・雑紙,雑誌・雑紙,
586,かしなどのこづつみそう（ぷらすちっくせい）,菓子などの個包装（プラスチック製）,容器包装プラスチック,容プラ,
587,かしなどのふくろ（あるみじょうちゃく）,菓子などの袋（アルミ蒸着）,容器包装プラスチック,容プラ,
588,かしなどのふくろ（ぷらすちっくせい）,菓子などの袋（プラスチック製）,容器包装プラスチック,容プラ,
589,かしそう・かんのなかのしきり・なかぶた（かみせい）,菓子箱・缶の中の仕切り・中ぶた（紙製）,燃やせるゴミ,可燃,
590,かしそう・かんのなかのしきり・なかぶた（ぷらすちっくせい）,菓子箱・缶の中の仕切り・中ぶた（プラスチック製）,容器包装プラスチック,容プラ,
591,がすおーぶんれんじ,ガスオーブンレンジ,金属,金属,
592,がすこんろ,ガスコンロ,金属,金属,電池は取り外して「危険ごみ」。
593,がすこんろしーと（あるみせい）,ガスこんろシート（アルミ製）,金属,金属,
594,がすこんろしーと（ぷらすちっくせい）,ガスこんろシート（プラスチック製）,その他プラスチック,他プラ,
595,がすすとーぶ,ガスストーブ,金属,金属,ゴム部分は「可燃」。
596,がすだい,ガス台,金属,金属,
597,がすれんじしーと,ガスレンジシート,燃やせるゴミ,可燃,
598,がすれんじまっと,ガスレンジマット,その他プラスチック,他プラ,
599,がすぼんべ（ぷろぱん、えきかたんさんがす）,ガスボンベ（プロパン、液化炭酸ガス）,処理困難物,処理困難物,販売店または専門の処理業者へ依頼。
600,かせいそーだ,苛性ソーダ,処理困難物,処理困難物,販売店または専門の処理業者へ依頼。
601,かせっとこんろ,カセットこんろ,金属,金属,ボンベは「危険ごみ」。
602,かせっとてーぷ（けーすをふくむ）,カセットテープ（ケースを含む）,その他プラスチック,他プラ,
603,かせっとでっき,カセットデッキ,金属,金属,
604,かせっとぼんべ,カセットボンベ,危険,危険,なるべく中身は使い切る。
605,がそりん,ガソリン,処理困難物,処理困難物,販売店または専門の処理業者（ガソリンスタンド等）へ依頼。
606,がそりんけいこうかん,ガソリン携行缶,金属,金属,なるべく中身は使い切る。
607,かたがみ,型紙,燃やせるゴミ,可燃,
608,かたたたき（もくせい）,肩たたき（木製）,燃やせるゴミ,可燃,
609,かたたたき（きんぞくせい）,肩たたき（金属製）,金属,金属,
610,かたろぐ,カタログ,雑誌・雑紙,雑誌・雑紙,ひもで十文字に束ねる。
611,がちふくろ,ガチ袋,燃やせるゴミ,可燃,
612,がちゃがちゃ（かぷせる）,ガチャガチャ（カプセル）,容器包装プラスチック,容プラ,
613,がちゃぎょく,ガチャ玉,金属,金属,
614,がちゃっく,ガチャック,金属,金属,
615,がっき（もくせい）,楽器（木製）,燃やせるゴミ,可燃,
616,がっき（きんぞくせい）,楽器（金属製）,金属,金属,
617,がっきけーす,楽器ケース,燃やせないごみ,不燃,
618,がっきすたんど（きんぞくせい）,楽器スタンド（金属製）,金属,金属,
619,がっきすたんど（もくせい）,楽器スタンド（木製）,燃やせるゴミ,可燃,
620,がっきようふっとぺだる（ぷらすちっくせい）,楽器用フットペダル（プラスチック製）,金属,金属,
621,かっしゃ（ぷらすちっくせい）,滑車（プラスチック製）,その他プラスチック,他プラ,
622,かっしゃ（きんぞくせい）,滑車（金属製）,金属,金属,
623,かったーしーと,カッターシート,燃やせるゴミ,可燃,
624,かったーないふ,カッターナイフ,金属,金属,刃部分を紙等で包み、「刃物」と表示して出す。
625,がっと（てにす・ばとみんとん）,ガット（テニス・バトミントン）,その他プラスチック,他プラ,
626,かっとわた,カット綿,燃やせるゴミ,可燃,
627,かっぱ（かせんのもの・ごむななふれっと）,カッパ（化繊の物・ゴム）,燃やせるゴミ,可燃,
628,かっぱ（びにーるせい）,カッパ（ビニール製）,その他プラスチック,他プラ,
629,かっぷしゅのようき,カップ酒の容器,びん,びん,
630,かっぷぼーど,カップボード,燃やせるゴミ,可燃,
631,かっぷほるだー,カップホルダー,その他プラスチック,他プラ,
632,かっぷめんなどのそとほうそうふぃるむ、く（かやく）・すうぷのふくろ,カップめんなどの外包装フィルム、具（かやく）・スープの袋,容器包装プラスチック,容プラ,
633,かっぷめんなどのふた・ようき（かみせい）,カップめんなどのふた・容器（紙製）,燃やせるゴミ,可燃,
634,かっぷめんなどのふた・ようき（ぷらすちっくせい）,カップめんなどのふた・容器（プラスチック製）,容器包装プラスチック,容プラ,中身は取り除く。
635,かつら・つけげ（じんもう）,かつら・つけ毛（人毛）,燃やせるゴミ,可燃,
636,かつら・つけげ（ぷらすちっくせい）,かつら・つけ毛（プラスチック製）,その他プラスチック,他プラ,
637,かていようていしゅうはちりょうき,家庭用低周波治療器,金属,金属,
638,かてーてるるい（ざいたくいりょうよう）,カテーテル類（在宅医療用）,燃やせるゴミ,可燃,在宅医療廃棄物は、透明又は半透明の袋に入れ、密封して「医」または「イ」と記載。
639,かどしょう,門松,燃やせるゴミ,可燃,
640,かどらー,カドラー,燃やせるゴミ,可燃,
641,かとらりーけーす（もくせい）,カトラリーケース（木製）,燃やせるゴミ,可燃,
642,かとらりーけーす（ぷらすちっくせい）,カトラリーケース（プラスチック製）,その他プラスチック,他プラ,
643,かとりき,蚊取り器,金属,金属,
644,かとりせんこう,蚊取り線香,燃やせるゴミ,可燃,
645,かとりせんこういれ（きんぞくせい）,蚊取り線香入れ（金属製）,金属,金属,
646,かとりせんこういれ（とうきせい）,蚊取り線香入れ（陶器製）,燃やせないごみ,不燃,
647,かとりせんこうのほとぎ,蚊取り線香の缶,金属,金属,
648,かなあみ,金網,金属,金属,
649,かなぐ,金具,金属,金属,
650,かなざる,金ざる,金属,金属,
651,きんたわし,金たわし,金属,金属,
652,かなづち,かなづち,金属,金属,
653,かねやすり,金やすり,金属,金属,
654,さしがね,曲尺,金属,金属,
655,かなだらい,金だらい,金属,金属,
656,かばん（ふじせい・たけせい・ぬのせい・かわせい・ごうひせい）,かばん（藤製・竹製・布製・革製・合皮製）,燃やせるゴミ,可燃,
657,かばん（びにーるせい・ぷらすちっくせい）,かばん（ビニール製・プラスチック製）,その他プラスチック,他プラ,
658,がばん（もくせい）,画板（木製）,燃やせるゴミ,可燃,
659,がばん（ぷらすちっくせい）,画板（プラスチック製）,その他プラスチック,他プラ,
660,かびとりすぷれー,カビ取りスプレー,容器包装プラスチック,容プラ,
661,がびょう,画びょう,金属,金属,
662,がびょうぬき,画びょう抜き,金属,金属,
663,かびん(たけ・もくせい),花びん(竹・木製),燃やせるゴミ,可燃,
664,かびん(とうじき・がらすせい),花びん(陶磁器・ガラス製),燃やせないごみ,不燃,
665,かびん(きんぞくせい),花びん(金属製),金属,金属,
666,かびんしき,花びん敷き,燃やせるゴミ,可燃,
667,かぶと,兜,金属,金属,
668,かべかみ,壁紙,燃やせるゴミ,可燃,
669,かま,鎌,金属,金属,
670,がまぐち,がまぐち,燃やせるゴミ,可燃,
671,かまぼこいた,かまぼこ板,燃やせるゴミ,可燃,
672,かまめしのようき（もくせい）,釜飯の容器（木製）,燃やせるゴミ,可燃,
673,かまめしのようき（ぷらすちっくせい）,釜飯の容器（プラスチック製）,容器包装プラスチック,容プラ,
674,かまめしのようき（とうきせい）,釜飯の容器（陶器製）,燃やせないごみ,不燃,
675,かみ,紙,雑誌・雑紙,雑誌・雑紙,
676,かみおむつ,紙おむつ,燃やせるゴミ,可燃,汚物はトイレに流す在宅医療廃棄物は、透明又は半透明の袋に入れ、密封して「医」または「イ」と記載。
677,かみきれ,紙きれ,雑誌・雑紙,雑誌・雑紙,雑誌などに挟む。
678,かみこっぷ・かみざら,紙コップ・紙皿,燃やせるゴミ,可燃,
679,かみこっぷのふた（ぷらすちっくせい）,紙コップのふた（プラスチック製）,その他プラスチック,他プラ,
680,かみしばい,紙芝居,燃やせるゴミ,可燃,
681,かみせいのかんしょうざい,紙製の緩衝材,燃やせるゴミ,可燃,
682,かみせいのようき,紙製の容器,燃やせるゴミ,可燃,
683,かみそり,かみそり,金属,金属,空き缶等の小さな金属容器に入れて出す。
684,かみそりたくみ（でんきかみそりたくみ）,かみそり機（電気かみそり機）,金属（エコ）,金属（エコ）,
685,かみそりせんじょうき,かみそり洗浄機,金属（エコ）,金属（エコ）,
686,かみそりのは,かみそりの刃,金属,金属,空き缶等の小さな金属容器に入れて出す。
687,かみだな,神棚,燃やせるゴミ,可燃,
688,かみてーぷ,紙テープ,燃やせるゴミ,可燃,
689,かみねんど,紙粘土,燃やせるゴミ,可燃,油粘土は「不燃」。
690,かみのけ,髪の毛,燃やせるゴミ,可燃,
691,かみのほうそう,紙の包装,燃やせるゴミ,可燃,
692,かみぱいぷ,紙パイプ,燃やせるゴミ,可燃,
693,かみばこ,紙箱,雑誌・雑紙,雑誌・雑紙,ひもで十文字に束ねる。
694,かみぱっく（ぎゅうにゅうぱっく・さけぱっくなど）,紙パック（牛乳パック・酒パックなど）,飲料用紙パック,飲料用紙パック,切り開いて、ひもで十文字に束ねる内側がアルミ加工の物は「可燃」。
695,かみぱんつ,紙パンツ,燃やせるゴミ,可燃,
696,かみひも,紙ひも,燃やせるゴミ,可燃,
697,かみふうせん,紙風船,燃やせるゴミ,可燃,
698,かみふくろ,紙袋,雑誌・雑紙,雑誌・雑紙,紙以外のひもは取り除き、ひもで十文字に束ねる。
699,かみやすり,紙やすり,燃やせるゴミ,可燃,
700,がむ,ガム,燃やせるゴミ,可燃,
701,がむてーぷ,ガムテープ,燃やせるゴミ,可燃,
702,がむてーぷかったー,ガムテープカッター,金属,金属,
703,おう（かめ）,甕（かめ）,燃やせないごみ,不燃,
704,かめら・でじたるかめら,カメラ・デジタルカメラ,金属（エコ）,金属（エコ）,電池は取り外して「危険ごみ」。
705,かめら・びでおのぼうすいけーす,カメラ・ビデオの防水ケース,その他プラスチック,他プラ,
706,かめらけーす（かわせい・ぬのせい）,カメラケース（革製・布製）,燃やせるゴミ,可燃,
707,かめらのれんず,カメラのレンズ,金属,金属,
708,かめらふぃるむのほごばっぐ（ぬの・かわせい）,カメラフィルムの保護バッグ（布・革製）,燃やせるゴミ,可燃,
709,かめらふぃるむのほごばっぐ（ぷらすちっくせい）,カメラフィルムの保護バッグ（プラスチック製）,その他プラスチック,他プラ,
710,かめらようふぁいんだー,カメラ用ファインダー,金属,金属,
711,かちょう（かや）,蚊帳（かや）,燃やせるゴミ,可燃,
712,かやく,火薬,燃やせるゴミ,可燃,水で湿らし、発火しないようにして出す。
713,がようし（えをえがくたもの、こうさくするたものをふくむ）,画用紙（絵を描いたもの、工作したものを含む）,燃やせるゴミ,可燃,
714,からーこーん,カラーコーン,その他プラスチック,他プラ,
715,からーこーんうぇいと（ごむせい）,カラーコーンウェイト（ゴム製）,燃やせるゴミ,可燃,
716,からーてーぷ,カラーテープ,燃やせるゴミ,可燃,
717,からーふぃるたー,カラーフィルター,その他プラスチック,他プラ,
718,からーぼーど,カラーボード,燃やせるゴミ,可燃,
719,からーぼっくす（もくせい）,カラーボックス（木製）,燃やせるゴミ,可燃,１ｍ以内にできなければ津市リサイクルセンターへ自己搬入。（ごみ分別ガイドブック７ページ参照）。
720,からーぼっくす（ぷらすちっくせい）,カラーボックス（プラスチック製）,その他プラスチック,他プラ,
721,からおけたくみ,カラオケ機,金属,金属,
722,からしのちゅーぶ,からしのチューブ,容器包装プラスチック,容プラ,中身は取り除く。汚れが取れない物は「可燃」。
723,がらす・とうきのようき,ガラス・陶器の容器,燃やせないごみ,不燃,
724,がらすいた・ささげ,ガラス板・棒,燃やせないごみ,不燃,
725,がらすくりーなー(ぷらすちっくせい),ガラスクリーナー(プラスチック製),その他プラスチック,他プラ,
726,がらすくりーなー(すぷれー),ガラスクリーナー(スプレー),危険,危険,
727,がらすこーてぃんぐざい（ぷらすちっくようき）,ガラスコーティング剤（プラスチック容器）,容器包装プラスチック,容プラ,
728,がらすさいく,ガラス細工,燃やせないごみ,不燃,
729,がらすせいひん,ガラス製品,燃やせないごみ,不燃,割れている場合は、紙等で包んで「ガラス」と表示。
730,がらすこへ,ガラス戸,燃やせないごみ,不燃,
731,がらすのふた,ガラスのふた,燃やせないごみ,不燃,
732,がらすびん（しょくひん・いんりょう）,ガラス瓶（食品・飲料）,びん,びん,
733,がらすびん（しょくひん・いんりょういがい）,ガラス瓶（食品・飲料以外）,燃やせないごみ,不燃,
734,がらすふぃるむ（すまーとふぉん、けいたいようなど）,ガラスフィルム（スマートフォン、携帯用など）,燃やせないごみ,不燃,
735,がらすふくしーと,ガラス拭きシート,燃やせるゴミ,可燃,
736,がらすぶろっく,ガラスブロック,燃やせないごみ,不燃,
737,がらすへん,ガラス片,燃やせないごみ,不燃,
738,がらすぽっと,ガラスポット,燃やせないごみ,不燃,
739,からびな,カラビナ,金属,金属,
740,かりこみはさみ,刈り込みはさみ,金属,金属,
741,かりはらうたくみ,刈払い機,金属,金属,
742,かるいし,軽石,燃やせないごみ,不燃,
743,かるた,かるた,雑誌・雑紙,雑誌・雑紙,
744,がれき,がれき,自己搬入,自己搬入,
745,かれくさ・かれは,枯れ草・枯葉,燃やせるゴミ,可燃,
746,かれんだー,カレンダー,雑誌・雑紙,雑誌・雑紙,
747,かわせいひん,革製品,燃やせるゴミ,可燃,
748,かわてぶくろ,革手袋,燃やせるゴミ,可燃,
749,かわむきき,皮むき器,金属,金属,
750,かわら,瓦,燃やせないごみ,不燃,自身で交換した物に限る。
751,ほとぎ（いんりょう・しょくひんよう）,缶（飲料・食品用）,金属,金属,
752,ほとぎ（いんりょう・しょくひんよういがい）,缶（飲料・食品用以外）,金属,金属,
753,かんいといれ（おくがたたいぷ）,簡易トイレ（置き型タイプ）,その他プラスチック,他プラ,汚物は取り除く。
754,がんえんらんぷ,岩塩ランプ,燃やせないごみ,不燃,
755,かんきせん,換気扇,金属,金属,
756,かんきり,缶切り,金属,金属,
757,かんけーす,缶ケース,金属,金属,
758,かんしょうぼうししーと,干渉防止シート,燃やせないごみ,不燃,
759,かんしょうざい・こんぽうざい（はっぽうすちろーる・えあぱっきん）,緩衝材・梱包材（発泡スチロール・エアパッキン）,容器包装プラスチック,容プラ,
760,かんそうきだい（もくせい）,乾燥機台（木製）,燃やせるゴミ,可燃,
761,かんそうきだい（ぷらすちっくせい）,乾燥機台（プラスチック製）,その他プラスチック,他プラ,
762,かんそうきだい（きんぞくせい）,乾燥機台（金属製）,金属,金属,
763,かんそうざい,乾燥剤,燃やせるゴミ,可燃,発熱防止のため、水分を含んだごみに混ぜない。
764,かんそうめんのふくろ,乾燥麺の袋,容器包装プラスチック,容プラ,
765,かんちょう,浣腸,燃やせるゴミ,可燃,
766,かんでんち（つつがた）,乾電池（筒型）,危険,危険,
767,かんな（かんな）,鉋（かんな）,金属,金属,
768,かんねつし,感熱紙,燃やせるゴミ,可燃,
769,かんねつはっぽうし,感熱発泡紙,燃やせるゴミ,可燃,
770,かんのふた（きんぞくせい）,缶のふた（金属製）,金属,金属,
771,かんばっじ,缶バッジ,金属,金属,
772,かんばん（もくせい）,看板（木製）,燃やせるゴミ,可燃,
773,かんばん（きんぞくせい）,看板（金属製）,金属,金属,
774,かんるい（あるみ・すちーる）,缶類（アルミ・スチール）,金属,金属,
775,かんようしょくぶつ,観葉植物,燃やせるゴミ,可燃,
776,きーけーす,キーケース,燃やせるゴミ,可燃,
777,きーちぇーん,キーチェーン,金属,金属,
778,きーぼーど（ぴーしーよう）,キーボード（PC用）,金属,金属,
779,きーぼーど（がっき）,キーボード（楽器）,金属,金属,
780,きーぼーどかばー,キーボードカバー,その他プラスチック,他プラ,
781,きーぼーどすたんど,キーボードスタンド,金属,金属,
782,きーほるだー,キーホルダー,金属,金属,
783,ききんぞく,貴金属,金属,金属,
784,ぎし,義肢,金属,金属,
785,きしょう（ぬのせい）,徽章（布製）,燃やせるゴミ,可燃,
786,きしょう（きんぞくせい）,徽章（金属製）,金属,金属,
787,ぎたー（えれき）,ギター（エレキ）,金属,金属,
788,ぎたー（あこーすてぃっく・くらしっく）,ギター（アコースティック・クラシック）,燃やせるゴミ,可燃,弦は外して「金属」。
789,ぎたーあんぷ,ギターアンプ,金属,金属,
790,ぎたーけーす,ギターケース,金属,金属,
791,きっくすくーたー,キックスクーター,金属,金属,
792,きっずかー,キッズカー,金属,金属,電池やバッテリーは取り除いて「危険ごみ」。
793,きづち,木づち,燃やせるゴミ,可燃,
794,きっちんがーど・あぶらはねがーど（きんぞくせい）,キッチンガード・油はねガード（金属製）,金属,金属,
795,きっちんしーと,キッチンシート,燃やせるゴミ,可燃,
796,きっちんたおる・きっちんぺーぱー,キッチンタオル・キッチンペーパー,燃やせるゴミ,可燃,
797,きっちんぼーど,キッチンボード,燃やせるゴミ,可燃,
798,きっちんまっと,キッチンマット,燃やせるゴミ,可燃,
799,きって,切手,燃やせるゴミ,可燃,
800,きっぷ,切符,燃やせるゴミ,可燃,
801,きぬせいひん,絹製品,燃やせるゴミ,可燃,
802,きね（きね）,杵（きね）,燃やせるゴミ,可燃,
803,き（にわき）のいた・えだ・みき・こん,木（庭木）の板・枝・幹・根,燃やせるゴミ,可燃,大きさの規定に従って排出する（ごみ分別ガイドブック７ページ参照）。
804,きのみ,木の実,燃やせるゴミ,可燃,
805,きばこ,木箱,燃やせるゴミ,可燃,
806,ぎぶす,ギブス,燃やせないごみ,不燃,
807,きほうかんしょうざい（えあぱっきん、ぷちぷち）,気泡緩衝材（エアパッキン、プチプチ）,容器包装プラスチック,容プラ,
808,きほうよくそうち（かていよう）,気泡浴装置（家庭用）,金属,金属,
809,ぎぼしたんし,ギボシ端子,金属,金属,
810,きめいちょう,記名帳,燃やせるゴミ,可燃,
811,きもの・おび,着物・帯,衣類・布類,衣類・布類,
812,きゃすたーかなぐ,キャスター金具,金属,金属,
813,きゃすたーつきわごん（もくせい）,キャスター付きワゴン（木製）,燃やせるゴミ,可燃,
814,きゃすたーつきわごん（きんぞくせい）,キャスター付きワゴン（金属製）,金属,金属,
815,きゃすたーばっぐ,キャスターバッグ,燃やせないごみ,不燃,
816,きゃすたーつきはんがーらっく（もくせい）,キャスター付きハンガーラック（木製）,燃やせるゴミ,可燃,
817,きゃすたーはんがー（きんぞくせい）,キャスターハンガー（金属製）,金属,金属,
818,きゃたつ（きんぞくせい）,脚立（金属製）,金属,金属,
819,きゃたつ（もくせい）,脚立（木製）,燃やせるゴミ,可燃,
820,きゃっしゅかーど,キャッシュカード,その他プラスチック,他プラ,
821,きゃっちゃーますく,キャッチャーマスク,金属,金属,
822,きゃっちゃーようぷろてくたー,キャッチャー用プロテクター,その他プラスチック,他プラ,
823,きゃっとたわー（もくせい）,キャットタワー（木製）,燃やせるゴミ,可燃,
824,きゃっとたわー（きんぞくぶひんあり）,キャットタワー（金属部品あり）,金属,金属,
825,きゃっとはうす,キャットハウス,燃やせるゴミ,可燃,
826,きゃにすたー（とうきせい・がらすせい）,キャニスター（陶器製・ガラス製）,燃やせないごみ,不燃,
827,きゃにすたー（ぷらすちっくせい）,キャニスター（プラスチック製）,その他プラスチック,他プラ,
828,きゃびねっと（もくせい）,キャビネット（木製）,燃やせるゴミ,可燃,１ｍ以内にできなければ津市リサイクルセンターへ自己搬入。（ごみ分別ガイドブック７ページ参照）。
829,きゃびねっと（がらすまどあり）,キャビネット（ガラス窓あり）,燃やせないごみ,不燃,大きさの規定に従って排出する（ごみ分別ガイドブック７ページ参照）。
830,きゃりーかーと,キャリーカート,金属,金属,
831,きゃりーけーす,キャリーケース,燃やせないごみ,不燃,
832,きゃりーばすけっと（もくせい）,キャリーバスケット（木製）,燃やせるゴミ,可燃,
833,きゃりーばすけっと（きんぞくせい）,キャリーバスケット（金属製）,金属,金属,
834,きゃりーばっぐ,キャリーバッグ,燃やせないごみ,不燃,
835,きゃんでぃーぽっと（きんぞくせい）,キャンディーポット（金属製）,金属,金属,
836,きゃんでぃーぽっと（とうき・がらすせい）,キャンディーポット（陶器・ガラス製）,燃やせないごみ,不燃,
837,きゃんばす,キャンバス,燃やせるゴミ,可燃,
838,きゃんぷまっと,キャンプマット,燃やせるゴミ,可燃,
839,きゃんぷようちょうりきぐ,キャンプ用調理器具,金属,金属,
840,きゅう,灸,燃やせるゴミ,可燃,
841,きゅういんかっぷ（びようきぐ）,吸引カップ（美容器具）,その他プラスチック,他プラ,
842,きゅういんき,吸引機,金属,金属,
843,きゅうきゅうばこ（もくせい）,救急箱（木製）,燃やせるゴミ,可燃,
844,きゅうきゅうばこ（ぷらすちっくせい）,救急箱（プラスチック製）,その他プラスチック,他プラ,
